Date,T2m_Anomaly
1942-02-22,12.119
1942-02-23,12.223
1942-02-24,12.282
1942-02-25,12.283
1942-02-26,12.316
1942-02-27,12.349
1942-02-28,12.279
1942-03-01,12.257
1942-03-02,12.316
1942-03-03,12.374
1942-03-04,12.374
1942-03-05,12.403
1942-03-06,12.403
1942-03-07,12.383
1942-03-08,12.401
1942-03-09,12.491
1942-03-10,12.645
1942-03-11,12.77
1942-03-12,12.758
1942-03-13,12.707
1942-03-14,12.705
1942-03-15,12.696
1942-03-16,12.691
1942-03-17,12.732
1942-03-18,12.775
1942-03-19,12.823
1942-03-20,12.854
1942-03-21,12.831
1942-03-22,12.772
1942-03-23,12.753
1942-03-24,12.818
1942-03-25,12.87
1942-03-26,12.945
1942-03-27,12.961
1942-03-28,12.943
1942-03-29,13.02
1942-03-30,13.081
1942-03-31,13.143
1942-04-01,13.254
1942-04-02,13.338
1942-04-03,13.354
1942-04-04,13.306
1942-04-05,13.282
1942-04-06,13.297
1942-04-07,13.333
1942-04-08,13.317
1942-04-09,13.326
1942-04-10,13.329
1942-04-11,13.308
1942-04-12,13.373
1942-04-13,13.467
1942-04-14,13.452
1942-04-15,13.481
1942-04-16,13.522
1942-04-17,13.591
1942-04-18,13.545
1942-04-19,13.576
1942-04-20,13.682
1942-04-21,13.75
1942-04-22,13.771
1942-04-23,13.763
1942-04-24,13.812
1942-04-25,13.825
1942-04-26,13.888
1942-04-27,13.886
1942-04-28,13.892
1942-04-29,13.959
1942-04-30,14.069
1942-05-01,14.182
1942-05-02,14.233
1942-05-03,14.286
1942-05-04,14.29
1942-05-05,14.328
1942-05-06,14.409
1942-05-07,14.423
1942-05-08,14.397
1942-05-09,14.43
1942-05-10,14.472
1942-05-11,14.517
1942-05-12,14.611
1942-05-13,14.66
1942-05-14,14.619
1942-05-15,14.621
1942-05-16,14.645
1942-05-17,14.692
1942-05-18,14.75
1942-05-19,14.759
1942-05-20,14.794
1942-05-21,14.773
1942-05-22,14.812
1942-05-23,14.835
1942-05-24,14.884
1942-05-25,14.883
1942-05-26,14.897
1942-05-27,14.915
1942-05-28,14.951
1942-05-29,15.004
1942-05-30,15.046
1942-05-31,15.081
1942-06-01,15.107
1942-06-02,15.13
1942-06-03,15.14
1942-06-04,15.181
1942-06-05,15.22
1942-06-06,15.33
1942-06-07,15.357
1942-06-08,15.334
1942-06-09,15.342
1942-06-10,15.364
1942-06-11,15.36
1942-06-12,15.395
1942-06-13,15.415
1942-06-14,15.394
1942-06-15,15.428
1942-06-16,15.398
1942-06-17,15.328
1942-06-18,15.272
1942-06-19,15.202
1942-06-20,15.168
1942-06-21,15.17
1942-06-22,15.193
1942-06-23,15.227
1942-06-24,15.278
1942-06-25,15.331
1942-06-26,15.367
1942-06-27,15.389
1942-06-28,15.385
1942-06-29,15.435
1942-06-30,15.471
1942-07-01,15.549
1942-07-02,15.559
1942-07-03,15.537
1942-07-04,15.56
1942-07-05,15.555
1942-07-06,15.567
1942-07-07,15.569
1942-07-08,15.549
1942-07-09,15.506
1942-07-10,15.508
1942-07-11,15.491
1942-07-12,15.418
1942-07-13,15.425
1942-07-14,15.463
1942-07-15,15.445
1942-07-16,15.471
1942-07-17,15.507
1942-07-18,15.479
1942-07-19,15.448
1942-07-20,15.473
1942-07-21,15.503
1942-07-22,15.516
1942-07-23,15.492
1942-07-24,15.505
1942-07-25,15.525
1942-07-26,15.515
1942-07-27,15.507
1942-07-28,15.517
1942-07-29,15.496
1942-07-30,15.503
1942-07-31,15.515
1942-08-01,15.528
1942-08-02,15.494
1942-08-03,15.441
1942-08-04,15.43
1942-08-05,15.369
1942-08-06,15.376
1942-08-07,15.372
1942-08-08,15.342
1942-08-09,15.353
1942-08-10,15.421
1942-08-11,15.383
1942-08-12,15.349
1942-08-13,15.351
1942-08-14,15.363
1942-08-15,15.427
1942-08-16,15.415
1942-08-17,15.407
1942-08-18,15.465
1942-08-19,15.566
1942-08-20,15.625
1942-08-21,15.58
1942-08-22,15.481
1942-08-23,15.392
1942-08-24,15.302
1942-08-25,15.236
1942-08-26,15.196
1942-08-27,15.189
1942-08-28,15.201
1942-08-29,15.153
1942-08-30,15.081
1942-08-31,15.034
1942-09-01,14.986
1942-09-02,15.0
1942-09-03,14.979
1942-09-04,14.969
1942-09-05,14.971
1942-09-06,14.915
1942-09-07,14.855
1942-09-08,14.858
1942-09-09,14.894
1942-09-10,14.893
1942-09-11,14.896
1942-09-12,14.872
1942-09-13,14.879
1942-09-14,14.841
1942-09-15,14.804
1942-09-16,14.7
1942-09-17,14.588
1942-09-18,14.629
1942-09-19,14.643
1942-09-20,14.622
1942-09-21,14.602
1942-09-22,14.558
1942-09-23,14.519
1942-09-24,14.505
1942-09-25,14.445
1942-09-26,14.387
1942-09-27,14.374
1942-09-28,14.335
1942-09-29,14.346
1942-09-30,14.343
1942-10-01,14.372
1942-10-02,14.378
1942-10-03,14.329
1942-10-04,14.265
1942-10-05,14.263
1942-10-06,14.249
1942-10-07,14.258
1942-10-08,14.249
1942-10-09,14.204
1942-10-10,14.152
1942-10-11,14.109
1942-10-12,14.035
1942-10-13,13.93
1942-10-14,13.909
1942-10-15,13.877
1942-10-16,13.758
1942-10-17,13.656
1942-10-18,13.545
1942-10-19,13.501
1942-10-20,13.462
1942-10-21,13.372
1942-10-22,13.27
1942-10-23,13.244
1942-10-24,13.255
1942-10-25,13.236
1942-10-26,13.214
1942-10-27,13.154
1942-10-28,13.089
1942-10-29,13.055
1942-10-30,13.08
1942-10-31,13.029
1942-11-01,12.989
1942-11-02,12.974
1942-11-03,12.902
1942-11-04,12.8
1942-11-05,12.693
1942-11-06,12.618
1942-11-07,12.626
1942-11-08,12.607
1942-11-09,12.548
1942-11-10,12.491
1942-11-11,12.452
1942-11-12,12.417
1942-11-13,12.385
1942-11-14,12.306
1942-11-15,12.271
1942-11-16,12.272
1942-11-17,12.367
1942-11-18,12.427
1942-11-19,12.429
1942-11-20,12.404
1942-11-21,12.39
1942-11-22,12.443
1942-11-23,12.46
1942-11-24,12.418
1942-11-25,12.385
1942-11-26,12.353
1942-11-27,12.335
1942-11-28,12.318
1942-11-29,12.326
1942-11-30,12.39
1942-12-01,12.389
1942-12-02,12.323
1942-12-03,12.27
1942-12-04,12.158
1942-12-05,12.024
1942-12-06,11.902
1942-12-07,11.847
1942-12-08,11.853
1942-12-09,11.798
1942-12-10,11.83
1942-12-11,11.874
1942-12-12,11.895
1942-12-13,11.91
1942-12-14,11.914
1942-12-15,11.926
1942-12-16,11.872
1942-12-17,11.783
1942-12-18,11.707
1942-12-19,11.642
1942-12-20,11.603
1942-12-21,11.593
1942-12-22,11.645
1942-12-23,11.651
1942-12-24,11.63
1942-12-25,11.603
1942-12-26,11.604
1942-12-27,11.684
1942-12-28,11.765
1942-12-29,11.818
1942-12-30,11.836
1942-12-31,11.825
1943-01-01,11.857
1943-01-02,11.83
1943-01-03,11.739
1943-01-04,11.638
1943-01-05,11.634
1943-01-06,11.671
1943-01-07,11.699
1943-01-08,11.731
1943-01-09,11.758
1943-01-10,11.753
1943-01-11,11.707
1943-01-12,11.659
1943-01-13,11.731
1943-01-14,11.774
1943-01-15,11.789
1943-01-16,11.704
1943-01-17,11.56
1943-01-18,11.444
1943-01-19,11.411
1943-01-20,11.411
1943-01-21,11.51
1943-01-22,11.6
1943-01-23,11.637
